"id","Completo","1","2","3","4","5","6","7","7 [Outro]","8 [Ensino fundamental] [Completo]","8 [Ensino fundamental] [Cursando]","8 [Ensino médio] [Completo]","8 [Ensino médio] [Cursando]","8 [Ensino técnico] [Completo]","8 [Ensino técnico] [Cursando]","8 [Ensino superior] [Completo]","8 [Ensino superior] [Cursando]","1","1 [Outro]","2 [Em casa]","2 [Na escola]","2 [Na lan-house]","2 [Em espaços públicos]","2 [Outros]","3","4 [Computador]","4 [Notebook / Laptop]","4 [Celular / Smartphone / Palmtop]","4 [Video-game]","4 [Outros]","5","6 [E-mail]","6 [Jogos]","6 [Blogs]","6 [Fóruns]","6 [Portais/Notícias]","6 [M.I.]","6 [Sites de relacionamento]","6 [Bate-papo]","6 [Vídeos]","6 [Outros]","7","8 [Orkut]","8 [MySpace]","8 [Facebook]","8 [Twitter]","8 [Não uso sites de relacionamento]","8 [Outro]","1 [Acho importante poder manter contato com os outros participantes da feira após o fim da Febrace]","1 [É possível que um grupo trabalhe num mesmo projeto sem estar na mesma cidade, pela Internet]","1 [A idéia de uma feira de ciências virtual na internet é interessante]","2","3","4","5","6"
"150","Y","Masculino","20","Campo Mourão","Paraná","UTFPR","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","15","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Nunca","Nunca","","","","","","","","","","","","","","Não","Não","Não","Não","Não","","","","","N/A","","N/A","",""
"151","Y","Masculino","","Cuiabá","Mato Grosso","Fundação Bradesco","Fundação","Finalista","","0","0","1","0","0","0","0","0","Outro","9","Todos os dias","De vez em quando","Nunca","Nunca","Todos os dias","Trabalho","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Todos os dias","Todos os dias","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Não","","Não","",""
"152","Y","Masculino","33","Cuiabá","Mato Grosso","Fundação Bradesco","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","19","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","De vez em quando","Nunca","","","Todos os dias","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","De vez em quando","Todos os dias","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Ótimo","Sim","Bom.",""
"153","Y","Masculino","17","São Paulo","São Paulo","Brasileira Israelita Chaim Nachman Bralik","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","","","","","","","","","","","","Não","Não","Não","Não","Não","","","","","N/A","","N/A","",""
"154","Y","Masculino","17","Pouso Alegre","Minas Gerais","Técnica de Eletrônica FMC","Particular","Finalista","","0","0","0","1","0","1","0","0","Outro","10","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","","","De vez em quando","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Neutro","Concordo","Sim","é um site organizado","Sim","É mais prático e rápido.",""
"155","Y","Masculino","17","Pouso Alegre","Minas Gerais","Técnica de Eletrônica FMC","Particular","Finalista","","0","0","0","1","0","1","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Nunca","De vez em quando","1 a 3 vezes por semana","","","Não","Não","Sim","Não","Não","","Concordo totalmente","Neutro","Concordo totalmente","Sim","A fácil navegação.","Sim","A submissão é rápida, fácil e ágil.",""
"156","Y","Masculino","","Cabo Verde","Minas Gerais","Técnica de Eletrônica FMC","Particular","Finalista","","0","0","0","1","0","1","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Nunca","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Neutro","Concordo","Sim","Um site de fácil acesso.","Não","",""
"157","Y","Masculino","","Taquatingá","Distrito Federal","Fundação Bradesco","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","12","Todos os dias","Todos os dias","","Todos os dias","","","Todos os dias","Todos os dias","","","","","Todos os dias","","","1 a 3 vezes por semana","Todos os dias","","De vez em quando","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Sim","Bem organizado.","Sim","Na última semana (encerramento da inscrição) ele apresentou alguns problemas.",""
"158","Y","Masculino","17","Ceilândia","Distrito Federal","Fundação Bradesco","Fundação","","","0","0","0","1","0","0","0","0","","","Todos os dias","De vez em quando","Nunca","De vez em quando","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","","","Não","Não","Não","Não","Sim","","Neutro","Concordo","Neutro","Não","","Não","",""
"159","Y","Masculino","17","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Finalista","","0","0","0","1","0","1","0","0","Outro","12","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Neutro","Concordo","Discordo","Sim","Bem elaborado e as informações são encontradas com facilidade.","Sim","Embora peça muitos dados, é fácil de utilizar.",""
"160","Y","Masculino","25","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","14","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Nunca","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo totalmente","Sim","Muito bom, normalmente encontro todas as informações nele.","Sim","às vezes não suporta muitos usuários.",""
"161","Y","Masculino","17","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Finalista","","0","0","0","1","1","0","0","0","Outro","12","Todos os dias","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","Trabalho","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","","","Todos os dias","De vez em quando","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Discordo","Discordo","Sim","Boa navegação.","Sim","Boa navegação.",""
"162","Y","Masculino","36","São João Del Rei","Minas Gerais","Fundação Bradesco","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","15","Todos os dias","1 a 3 vezes por semana","Nunca","De vez em quando","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo","Concordo","Sim","Simples, claro e objetivo","Sim","Simples, claro e objetivo",""
"163","Y","Masculino","15","São João Del Rei","Minas Gerais","Fundação Bradesco","Fundação","Finalista","","0","0","0","1","0","0","0","0","Outro","6","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","1 a 3 vezes por semana","De vez em quando","Nunca","","","1 a 3 vezes por semana","","Todos os dias","Todos os dias","1 a 3 vezes por semana","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Neutro","Concordo","Sim","Interessante, informativo","Sim","Organizado, eficaz e de simples manuseio",""
"164","Y","Masculino","20","Santa Izabel do Pará","Pará","E. E. E. Tecnológico do Pará Magalhães Barata","Pública","Finalista","","0","0","1","0","0","1","0","0","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Todos os dias","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Sim, conheço","Sim","",""
"165","Y","Masculino","55","Belém","Pará","E. E. E. Tecnológico do Pará Magalhães Barata","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","","","Todos os dias","Todos os dias","","","","","Todos os dias","Todos os dias","","","","","Todos os dias","","","","Todos os dias","","Todos os dias","","","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","Muito bom.","Sim","Precisa aumentar a capacidade de transferência de dados.","Nada a declarar..."
"166","Y","Masculino","20","Ananindeua","Pará","EETPA Juscelino Kubitschek de Oliveira","Pública","Finalista","","0","0","0","0","1","0","0","0","Outro","16","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Discordo","Sim","O site atende bem as necessidades.","Não","",""
"167","Y","Feminino","20","Marituba","Pará","EETPA Juscelino Kubitschek de Oliveira","Pública","Finalista","","0","0","0","0","1","0","0","0","Outro","15","","De vez em quando","1 a 3 vezes por semana","Nunca","","","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","","","De vez em quando","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Não","","N/A","",""
"168","Y","Feminino","26","Belém","Pará","EETPA Juscelino Kubitschek de Oliveira","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","15","Todos os dias","Todos os dias","","","","","Todos os dias","Todos os dias","Todos os dias","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Informativo e atualizado.","Sim","Fácil de acessar.","Facilidade de comunicação."
"169","Y","Masculino","16","São Paulo","São Paulo","Bialik","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Discordo totalmente","Concordo","Sim","Não é prático.","Sim","Bem interessante, pois assim temos uma grande variedades de projetos.","Não"
"171","Y","Feminino","18","Miranda","Mato Grosso do Sul","Fundação Bradesco","Fundação","Finalista","","0","0","1","0","1","0","0","0","Outro","11","Nunca","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","","","","","","","","","","","","","","Não","Não","Não","Não","Não","","","","","N/A","","N/A","",""
"172","Y","Masculino","19","São Paulo","São Paulo","Morumbi Sul","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","12","Todos os dias","1 a 3 vezes por semana","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","Todos os dias","Todos os dias","Todos os dias","1 a 3 vezes por semana","Todos os dias","Todos os dias","1 a 3 vezes por semana","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Neutro","Sim","Muito bom.","Sim","Muito bom.",""
"173","Y","Masculino","28","São Paulo","São Paulo","Morumbi Sul","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","5","Todos os dias","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","Todos os dias","Todos os dias","","","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Bom!","Sim","Boa opção!","Não"
"174","Y","Feminino","17","Mambori","Paraná","João XXIII","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","12","Nunca","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","Livraria","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","Nunca","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo totalmente","Sim","É muito interessante.","Não","","Não"
"175","Y","Feminino","12","Tailândia","Pará","Profº Gabriel Lage da Silva","Pública","Finalista","","0","1","0","0","0","0","0","0","Outro","9","Todos os dias","","","","","","Todos os dias","","","","","","Todos os dias","De vez em quando","Nunca","De vez em quando","De vez em quando","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo totalmente","Não","","Não","",""
"176","Y","Masculino","12","Tailândia","Pará","Profº Gabriel Lage da Silva","Pública","Finalista","","0","1","0","0","0","0","0","0","Outro","10","Nunca","Nunca","1 a 3 vezes por semana","Nunca","","","1 a 3 vezes por semana","De vez em quando","Todos os dias","1 a 3 vezes por semana","","","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","Bom, relata informações importantes para o incentivo dos alunos a serem um jovem cientista.","Não","","Sim, a internet é a porta virtual do mundo."
"177","Y","Feminino","29","Tailândia","Pará","Profº Gabriel Lage da Silva","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","15","Todos os dias","De vez em quando","Nunca","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","Nunca","","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","Possui informações interessantes e esclarecedoras.","Não","",""
"178","Y","Feminino","13","Tailândia","Pará","Profº Gabriel Lage da Silva","Pública","Finalista","","0","1","0","0","0","0","0","0","Outro","4","Nunca","Nunca","1 a 3 vezes por semana","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","","","Sim","Sim","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","Eu acho que precisava que as informações estivessem de maneira mais clara e objetiva.","Não","","É importante para nós nos informarmos sobre o mundo mas de forma interativa, TV é chato."
"179","Y","Feminino","35","Tailândia","Pará","Profº Gabriel Lage da Silva","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","20","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Sim","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Contem muitas informações de nível diferenciado sobre diversos assuntos e pesquisas","Sim","para verificação da autenticidade das pesquisas científicas","Conhecer várias pessoas online e assim visitar vários lugares, sem viajar."
"180","Y","Masculino","18","São José dos Campos","São Paulo","Técnica Professor Everardo Passos","Particular","Acompanhante","","0","0","1","0","0","1","0","0","Outro","12","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","De vez em quando","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","De vez em quando","De vez em quando","De vez em quando","Nunca","Nunca","","","Sim","Não","Não","Não","Não","","Neutro","Concordo","Discordo","Não","","Não","",""
"181","Y","Masculino","18","São José dos Campos","São Paulo","Técnica Professor Everardo Passos","Particular","Finalista","","0","0","1","0","0","1","0","0","Outro","10","Todos os dias","1 a 3 vezes por semana","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","Todos os dias","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","possuir as informações com fácil acesso e bem conciso","Sim","nele se descreve todo o projeto, nomes dos integrantes e documentação",""
"182","Y","Masculino","25","Campo Mourão","Paraná","UTFPR","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","16","1 a 3 vezes por semana","Todos os dias","Nunca","De vez em quando","","","De vez em quando","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","De vez em quando","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","Nunca","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo","Discordo","Sim","bem elaborado e de fácil acesso as informações pertinentes","Sim","prático","não"
"183","Y","Feminino","19","Belém","Pará","E. E. E. Tecnológico do Pará Magalhães Barata","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","14","Nunca","De vez em quando","De vez em quando","Nunca","","","De vez em quando","De vez em quando","Todos os dias","Nunca","","","De vez em quando","Nunca","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","Sonico","Concordo","Neutro","Concordo","Sim","bastante interativo e informativo","Não","",""
"184","Y","Feminino","20","Barcarena","Pará","E. E. E. Tecnológico do Pará Magalhães Barata","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","15","Nunca","De vez em quando","1 a 3 vezes por semana","Nunca","","","Nunca","Nunca","Nunca","De vez em quando","","","De vez em quando","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","Nunca","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","importante para nós da área de pesquisa para ficarmos informados sobre a possibilidade de demonstrar nossas idéias.","Não","","não"
"185","Y","Feminino","17","Rio Claro","São Paulo","Puríssimo","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","12","Todos os dias","Todos os dias","De vez em quando","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","muito organizado","Sim","adequado",""
"186","Y","Feminino","16","Rio Claro","São Paulo","Puríssimo","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","ótimo","Sim","muito bem organizado",""
"187","Y","Masculino","27","Rio Claro","São Paulo","Puríssimo","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","16","Todos os dias","Todos os dias","","","","","Todos os dias","Nunca","1 a 3 vezes por semana","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","Todos os dias","De vez em quando","Nunca","Nunca","Todos os dias","","","Não","Não","Não","Não","Sim","","Concordo","Discordo totalmente","Discordo","Sim","muito bom, completo","Sim","muito bom",""
"188","Y","N/A","","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Finalista","","0","0","0","1","0","0","0","0","Outro","8","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","Nunca","De vez em quando","Nunca","","","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Discordo totalmente","Neutro","Sim","ele é bem estruturado para o auxílio às pessoas interessadas em participar e/ou conhecer","Não","",""
"189","Y","Masculino","15","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Finalista","","0","0","0","1","0","0","0","0","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","Nunca","Todos os dias","Todos os dias","Todos os dias","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Discordo totalmente","Neutro","Sim","bem estruturado e fácil de navegar","Sim","muito bem estruturado, mas com poucas opções",""
"190","Y","Masculino","15","São Paulo","São Paulo","Centro Educacional de Pedreira","Fundação","Finalista","","1","0","0","0","0","0","0","0","Outro","9","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","De vez em quando","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo","Neutro","Discordo","Sim","muito bom, o site é bem estruturado","Não","",""
"191","Y","Masculino","14","Londrina","Paraná","Interativa","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","Todos os dias","Todos os dias","Todos os dias","Nunca","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","é bom, pois tem as informações bem detalhadas.","Sim","é bom, tem as informações rápidas e detalhadas no qual é ótimo.",""
"192","Y","Feminino","18","Jacareí","São Paulo","ETEP","Particular","Finalista","","0","0","1","0","0","1","0","0","Outro","10","Todos os dias","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Todos os dias","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","De vez em quando","De vez em quando","De vez em quando","De vez em quando","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","N/A","","Não","",""
"193","Y","Masculino","17","São José dos Campos","São Paulo","ETEP","Particular","Finalista","","0","0","1","0","0","1","0","0","Outro","7","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","Todos os dias","De vez em quando","De vez em quando","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","","Não","","Não","",""
"194","Y","Masculino","17","São José dos Campos","São Paulo","ETEP","Particular","Finalista","","0","0","1","0","0","1","0","0","Outro","13","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","Nunca","1 a 3 vezes por semana","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","nenhum opinião formada","Não","",""
"195","Y","Feminino","16","Araras","São Paulo","Koelle","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","Nunca","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Discordo","Sim","é muito organizado","Sim","é bem eficiente e prestativo",""
"196","Y","Masculino","16","Palmas","Tocantins","Marista de Palmas","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","8","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Discordo","Sim","muito bom - poderia conter mais material como vídeo e mais fotos.","Sim","muito bom",""
"197","Y","Masculino","17","Palmas","Tocantins","Escola Técnica Federal","Pública","Finalista","","0","0","0","0","0","1","0","0","Outro","14","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","bom","Sim","bom",""
"198","Y","Masculino","32","Palmas","Tocantins","Escola Técnica Federal","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","15","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","1 a 3 vezes por semana","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Discordo","Sim","excelente","Sim","muito bom",""
"199","Y","Masculino","17","Paragominas","Pará","Fundação Bradesco","Fundação","Finalista","","0","0","1","0","0","0","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","Todos os dias","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Discordo","Sim","é uma excelente oportunidade para incentivar os alunos do Brasil a desenvolver trabalhos científicos","Não","",""
"200","Y","Masculino","30","Paragominas","Pará","Fundação Bradesco","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","15","1 a 3 vezes por semana","De vez em quando","","Nunca","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","site simples com visual clean porém preciso nas informações","N/A","",""
"201","Y","Feminino","20","Abaetetuba","Pará","São Francisco Xavier","Pública","Finalista","","0","0","0","1","0","0","0","0","","","Nunca","Nunca","1 a 3 vezes por semana","Nunca","","","","","","","","","1 a 3 vezes por semana","Nunca","","","","","De vez em quando","Nunca","","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Discordo","Sim","ele contribui para meu conhecimento ","Não","",""
